movie,image,movie_type,annot_group,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,sum,exp_sum,intensity1,intensity2,intensity3,intensity4,intensity5,intensity_mean,intensity_sd
AllOrNothingAM,all_6_115314_167.jpg,A,7,0.65,0.0,1.06,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.3,0.1,0.0,0.0,0.0,1.28,0.12,5.31,0.0278087039957321,6,4,5,4,3,4.4,1.0198039027185568
AllOrNothingAM,all_37_52425_23.jpg,A,5,0.15,0.0,1.87,0.72,0.0,0.59,0.0,0.22,0.0,0.0,0.46,0.0,0.02,0.29,0.06,1.0,0.16,5.54,0.0280096493702059,3,7,4,4,5,4.6,1.3564659966250536
AllOrNothingAM,all_9_24041_132.jpg,A,4,0.8,1.24,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.6,0.3,0.0,0.25,0.0,0.65,0.16,5.62,0.0289133589276989,2,2,5,5,2,3.2,1.469693845669907
AllOrNothingAM,all_12_80308_123.jpg,A,3,0.04,0.0,1.52,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,2.03,5.630000000000001,0.0313620979871202,2,1,3,1,2,1.8,0.7483314773547883
AllOrNothingAM,all_28_186818_82.jpg,A,1,1.05,0.0,1.79,0.12,0.0,0.0,0.72,0.52,0.0,0.22,0.09,0.0,0.0,0.0,0.0,1.23,0.0,5.739999999999998,0.027895811107532,1,4,2,2,2,2.2,0.9797958971132712
AllOrNothingAM,all_11_50906_15_old.jpg,A,8,0.44,1.06,0.0,1.44,0.0,0.24,0.77,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,1.55,0.0,5.749999999999999,0.0303967890830778,4,5,7,5,4,5.0,1.095445115010332
AllOrNothingAM,all_14_146821_158.jpg,A,6,0.98,0.44,0.61,0.93,0.24,0.28,0.0,0.0,0.0,0.42,0.01,0.33,0.0,0.4,0.0,1.17,0.0,5.8100000000000005,0.0295169412857241,6,6,6,1,2,4.2,2.227105745132009
AllOrNothingAM,all_5_24281_79.jpg,A,9,1.16,1.38,1.36,0.11,0.0,0.0,0.0,0.0,0.0,0.29,0.46,0.18,0.0,0.01,0.0,0.56,0.33,5.84,0.0304824460772771,2,3,3,2,2,2.4,0.4898979485566356
AllOrNothingAM,all_13_126650_18.jpg,A,4,1.36,0.0,0.89,0.57,0.0,0.0,0.0,0.0,0.15,0.56,0.76,0.25,0.05,0.23,0.0,0.51,0.76,6.09,0.0310932793612729,6,1,4,2,1,2.8,1.939071942966532
AllOrNothingAM,all_7_102785_0.jpg,A,1,0.96,0.14,0.19,0.3,0.1,0.4,0.0,0.74,0.0,0.25,0.59,0.84,0.41,0.55,0.0,0.31,0.57,6.35,0.0280054667906908,4,3,3,2,3,3.0,0.6324555320336759
AllOrNothingAM,all_21_24281_66.jpg,A,2,1.26,1.52,1.52,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.49,0.0,0.09,0.0,0.69,0.33,6.57,0.0346718458515193,2,2,2,2,4,2.4,0.8
AllOrNothingAM,all_17_62161_47.jpg,A,7,0.46,0.13,0.14,0.0,0.0,0.62,1.0,1.5,0.0,0.0,0.83,0.1,0.0,0.0,1.33,0.63,0.05,6.789999999999999,0.0271662450669228,6,5,5,4,3,4.6,1.0198039027185568
AllOrNothingAM,all_32_134697_103.jpg,A,6,1.97,0.36,0.27,1.24,0.0,0.0,0.77,0.53,0.0,0.59,0.24,0.43,0.0,0.0,0.18,0.35,0.0,6.929999999999999,0.0337559833896552,3,3,3,1,2,2.4,0.8
AllOrNothingAM,all_40_149472_81.jpg,A,8,0.26,0.0,0.6,1.33,0.0,0.52,1.21,1.57,0.14,0.0,0.0,0.34,1.13,0.0,0.12,0.0,0.0,7.22,0.0293140908458772,6,6,6,5,4,5.4,0.8
AllOrNothingAM,all_36_145897_353.jpg,A,10,0.67,0.18,0.23,0.86,0.54,0.89,0.49,0.24,0.0,0.9,0.18,0.94,0.0,0.44,0.0,0.66,0.0,7.2200000000000015,0.0353106925100036,3,5,4,3,3,3.6,0.8
AllOrNothingAM,all_32_38810_22.jpg,A,7,0.0,0.0,1.67,0.34,0.0,0.0,0.0,0.21,0.0,0.57,1.1,0.0,0.0,0.0,0.0,3.34,0.0,7.229999999999999,0.0419855191104152,3,6,4,4,1,3.6,1.624807680927192
AllOrNothingAM,all_15_79341_16.jpg,A,2,0.81,0.33,0.0,0.0,0.51,0.0,1.23,1.18,0.0,0.0,0.01,0.96,0.0,0.0,0.17,0.0,2.2,7.399999999999999,0.0336843921994318,5,6,6,1,4,4.4,1.8547236990991407
AllOrNothingAM,all_33_146821_108.jpg,A,4,0.97,0.22,2.0,0.84,0.0,0.3,0.0,0.0,0.0,0.0,0.77,0.61,0.0,1.28,0.0,0.48,0.0,7.470000000000001,0.0396407108615194,3,5,4,5,5,4.4,0.7999999999999999
AllOrNothingAM,all_18_86769_34.jpg,A,4,1.1,1.61,1.27,0.0,0.0,0.0,0.0,1.11,0.0,0.02,0.25,0.0,0.0,0.12,0.05,0.39,1.73,7.649999999999999,0.0352833523743897,2,2,2,4,3,2.6,0.8
AllOrNothingAM,all_29_85513_23.jpg,A,1,1.19,1.71,1.37,1.02,0.0,0.0,0.0,0.47,0.0,0.0,0.2,0.67,0.0,0.12,0.0,0.96,0.0,7.709999999999999,0.0385514271440785,6,3,2,1,6,3.6,2.0591260281974
AllOrNothingAM,all_27_66508_13.jpg,A,5,1.19,0.3,0.0,1.24,0.0,0.0,0.0,1.37,0.0,0.96,0.99,1.7,0.0,0.16,0.0,0.0,0.0,7.91,0.0348321081564129,4,2,4,3,5,3.6,1.019803902718557
AllOrNothingAM,all_26_56881_1.jpg,A,9,0.0,0.0,0.0,2.13,0.83,0.78,0.72,1.51,0.0,0.0,0.64,0.46,0.91,0.0,0.0,0.0,0.06,8.04,0.0348298681798598,1,1,4,1,2,1.8,1.1661903789690602
AllOrNothingAM,all_35_107601_123.jpg,A,9,1.83,1.33,0.2,0.87,0.68,2.48,0.32,0.0,0.17,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,8.120000000000001,0.045072079459298,2,5,4,3,5,3.8,1.16619037896906
AllOrNothingAM,all_38_149824_138.jpg,A,10,1.02,1.02,1.86,0.0,0.32,0.0,0.0,0.28,0.05,0.15,0.15,0.0,0.0,0.32,0.29,0.97,1.79,8.220000000000002,0.0426110449017191,4,6,5,5,4,4.8,0.7483314773547882
AllOrNothingAM,all_45_136313_0.jpg,A,6,0.15,0.37,2.07,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.86,0.0,0.0,1.06,0.84,0.0,8.450000000000001,0.0475660893199688,4,7,5,5,5,5.2,0.9797958971132712
AllOrNothingAM,all_55_73622_76.jpg,A,9,1.55,0.33,0.08,1.57,0.0,0.59,0.0,0.0,0.0,0.0,1.29,1.25,0.89,0.0,0.41,0.66,0.0,8.62,0.0456943608247452,1,3,4,3,3,2.8,0.9797958971132712
AllOrNothingAM,all_41_53239_128.jpg,A,10,0.26,0.0,1.49,0.0,0.72,1.04,1.46,1.65,0.0,0.37,0.0,0.0,0.82,0.0,0.41,0.46,0.0,8.68,0.036773059675424,3,5,4,3,4,3.8,0.7483314773547882
AllOrNothingAM,all_53_146265_165.jpg,A,3,0.63,0.38,3.21,0.77,0.0,0.35,0.0,1.49,0.0,0.31,0.09,0.82,0.19,0.0,0.13,0.47,0.0,8.84,0.0418072041788025,2,3,2,6,7,4.0,2.097617696340304
AllOrNothingAM,all_23_147289_68.jpg,A,7,1.66,0.0,2.2,0.0,0.0,0.0,0.0,1.14,0.0,0.73,0.63,0.47,0.0,0.0,0.87,0.8,0.43,8.93,0.0421220343481367,4,6,5,5,2,4.4,1.3564659966250536
AllOrNothingAM,all_24_147713_16.jpg,A,10,0.52,0.0,1.88,0.12,0.0,0.0,0.0,1.08,0.0,2.12,0.29,1.07,0.0,0.0,0.18,2.24,0.0,9.5,0.0475041772863916,4,6,3,4,4,4.2,0.9797958971132712
AllOrNothingAM,all_24_98146_50.jpg,A,9,0.0,0.91,0.69,0.0,0.57,0.0,0.53,1.41,0.0,0.6,0.81,2.48,0.0,0.04,0.0,0.51,1.39,9.94,0.0461625398236134,1,6,3,1,2,2.6,1.8547236990991407
AllOrNothingAM,all_62_37561_48.jpg,A,9,1.34,0.78,1.52,1.18,0.62,0.69,0.51,1.11,0.39,0.48,0.34,1.03,0.0,0.0,0.0,0.0,0.0,9.99,0.0462667861219212,2,4,4,3,3,3.2,0.7483314773547882
AllOrNothingAM,all_60_121113_91.jpg,A,8,0.24,0.0,1.44,1.7,0.0,0.4,0.0,0.07,0.0,0.0,1.71,0.97,1.57,0.0,0.42,1.28,0.22,10.02,0.0538041398685704,4,6,5,3,5,4.6,1.0198039027185568
AllOrNothingAM,all_58_125737_51.jpg,A,3,2.91,3.89,0.83,0.21,0.0,0.0,0.0,0.19,0.25,0.64,0.0,0.98,0.0,0.0,0.0,0.21,0.07,10.180000000000003,0.0624001578657714,2,2,2,2,7,3.0,2.0
AllOrNothingAM,all_22_31516_80.jpg,A,9,1.07,0.0,0.42,0.0,0.59,0.57,0.0,1.42,0.25,0.0,1.34,0.71,0.35,0.0,2.24,1.46,0.0,10.420000000000002,0.0484846058854393,2,4,5,4,4,3.8,0.9797958971132712
AllOrNothingAM,all_56_162505_220.jpg,A,8,1.98,0.15,1.99,1.28,0.0,0.0,0.0,0.07,0.0,1.53,1.26,0.43,0.0,0.66,0.72,0.0,0.4,10.470000000000002,0.0567296405696176,4,6,5,2,5,4.4,1.3564659966250536
AllOrNothingAM,all_84_57169_0.jpg,A,3,0.9,0.27,0.0,1.7,0.95,1.78,0.48,1.39,0.0,0.0,0.76,0.6,1.37,0.33,0.0,0.0,0.0,10.53,0.0487230434129129,2,1,7,2,3,3.0,2.097617696340304
AllOrNothingAM,all_48_136497_85.jpg,A,8,0.69,0.0,1.2,1.08,0.0,0.0,0.76,0.0,0.0,0.0,1.56,0.16,0.0,2.06,0.0,3.04,0.0,10.55,0.0604753216536083,3,4,5,3,5,4.0,0.8944271909999159
AllOrNothingAM,all_43_152321_6.jpg,A,8,1.18,0.1,1.74,0.32,0.0,0.43,0.0,0.27,0.08,0.19,0.94,1.47,1.07,0.0,0.0,0.69,2.12,10.6,0.0559308876976761,6,4,6,2,5,4.6,1.4966629547095764
AllOrNothingAM,all_46_132769_30.jpg,A,6,1.86,0.0,0.28,0.96,0.83,0.65,0.13,1.48,0.47,0.83,0.0,0.0,1.29,0.0,0.9,0.99,0.0,10.67,0.0483684083322435,6,5,5,2,5,4.6,1.3564659966250536
AllOrNothingAM,all_78_125737_73.jpg,A,7,3.2,3.78,0.3,0.74,0.0,0.0,0.0,0.0,0.24,0.47,0.0,1.22,0.0,0.0,0.0,0.81,0.0,10.760000000000002,0.0670119403209009,6,3,5,3,3,4.0,1.2649110640673518
AllOrNothingAM,all_77_130513_65.jpg,A,9,1.12,0.0,1.49,1.67,0.05,1.83,0.26,1.44,0.0,0.0,1.09,0.48,0.52,0.0,0.94,0.0,0.0,10.89,0.0508545445510703,3,6,4,3,4,4.0,1.095445115010332
AllOrNothingAM,all_59_162393_59.jpg,A,6,2.49,0.69,1.99,0.43,0.0,0.0,0.0,1.16,0.0,0.25,0.95,1.59,0.71,0.0,0.0,0.64,0.0,10.900000000000002,0.0540349270641568,5,5,5,2,3,4.0,1.2649110640673518
AllOrNothingAM,all_39_166977_2.jpg,A,5,2.79,0.0,2.38,0.0,0.62,0.0,0.0,0.97,0.26,0.26,0.81,1.13,0.09,0.0,0.0,0.0,1.74,11.05,0.0578783461395951,6,7,6,3,7,5.8,1.469693845669907
AllOrNothingAM,all_57_66508_23.jpg,A,2,1.52,0.6,0.0,1.88,0.69,0.36,0.0,2.51,0.72,0.0,1.25,0.64,0.0,0.0,1.03,0.0,0.0,11.2,0.0462683824075619,5,5,6,2,7,5.0,1.6733200530681511
AllOrNothingAM,all_30_130513_134.jpg,A,5,0.0,0.0,2.24,0.05,0.17,1.77,0.5,1.76,0.0,0.0,0.8,1.2,0.5,0.0,0.63,1.2,0.45,11.27,0.0515238133517489,5,7,5,2,4,4.6,1.624807680927192
AllOrNothingAM,all_47_133313_71.jpg,A,10,3.17,1.13,1.5,0.12,0.45,0.0,0.0,0.12,0.0,0.0,0.3,0.68,1.12,0.56,0.0,1.23,0.93,11.31,0.0627748122632091,6,6,5,7,4,5.6,1.019803902718557
AllOrNothingAM,all_61_49281_36.jpg,A,3,2.25,1.83,1.89,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,1.07,1.51,1.58,11.43,0.0638170347762412,3,2,2,2,4,2.6,0.8
AllOrNothingAM,all_61_66649_77.jpg,A,1,1.42,0.04,1.79,0.0,0.77,1.16,0.0,1.67,0.52,0.0,0.59,1.05,0.0,0.12,0.58,1.47,0.3,11.48,0.0521026072034363,7,5,6,3,6,5.4,1.3564659966250536
AllOrNothingAM,all_64_108025_25.jpg,A,2,1.8,1.42,1.32,2.19,0.68,0.93,0.0,0.0,0.0,0.0,0.95,0.18,1.51,0.0,0.5,0.03,0.0,11.509999999999998,0.0629112112897205,5,5,6,2,6,4.8,1.469693845669907
AllOrNothingAM,all_44_167881_102.jpg,A,2,3.27,1.11,1.2,0.0,0.47,0.0,0.0,1.2,0.04,0.2,0.53,0.6,0.51,0.0,0.07,1.65,0.7,11.55,0.0586570221590014,6,6,6,7,5,6.0,0.6324555320336759
AllOrNothingAM,all_69_164137_15.jpg,A,1,1.88,0.58,3.63,1.28,0.0,0.12,0.0,0.96,0.0,0.0,1.06,1.63,0.87,0.19,0.0,0.0,0.0,12.2,0.0661912656477741,3,4,4,2,3,3.2,0.7483314773547882
AllOrNothingAM,all_76_132769_75.jpg,A,10,1.81,0.03,0.61,0.0,0.88,2.1,0.23,0.63,0.41,1.09,0.0,0.06,1.37,0.04,0.85,1.37,0.96,12.439999999999998,0.0637758837285371,5,5,4,2,3,3.8,1.16619037896906
AllOrNothingAM,all_67_162785_4.jpg,A,6,2.46,1.13,1.99,1.03,0.04,0.0,0.0,1.36,0.0,0.24,0.85,1.33,0.62,0.0,0.3,1.16,0.0,12.51,0.0613983937714094,6,6,6,5,4,5.4,0.8
AllOrNothingAM,all_59_186922_36.jpg,A,9,1.34,1.12,0.0,0.0,1.29,0.47,0.53,1.89,1.25,1.14,0.0,0.0,0.0,0.0,0.95,1.35,1.5,12.829999999999998,0.058182541862172,3,3,5,3,3,3.4,0.8
AllOrNothingAM,all_51_56881_163.jpg,A,6,1.15,0.11,0.0,0.56,1.26,2.56,1.55,2.39,0.88,0.0,0.58,1.07,0.72,0.0,0.0,0.0,0.17,13.000000000000002,0.0579285210633317,2,3,4,1,5,3.0,1.4142135623730951
AllOrNothingAM,all_73_162257_89.jpg,A,8,2.39,0.43,2.66,1.06,0.0,0.0,0.0,0.76,0.0,1.73,1.76,0.38,0.0,1.19,0.27,0.23,0.3,13.160000000000002,0.0703303191240457,6,6,3,6,6,5.4,1.2
AllOrNothingAM,all_65_114529_169.jpg,A,1,0.68,0.0,2.04,0.92,0.0,0.0,0.97,0.82,0.0,1.53,1.07,1.0,0.0,0.78,0.63,2.99,0.06,13.490000000000002,0.0710070503727085,3,3,3,2,2,2.6,0.4898979485566356
AllOrNothingAM,all_63_149824_24.jpg,A,10,0.0,0.0,2.52,0.39,1.2,1.92,1.27,0.97,0.0,1.29,0.36,0.6,0.0,0.46,0.85,1.7,0.0,13.53,0.0693799153779021,6,6,4,6,5,5.4,0.7999999999999999
AllOrNothingAM,all_66_162505_80.jpg,A,1,2.34,0.45,2.82,2.2,0.0,0.32,0.0,0.2,0.0,2.02,1.35,0.23,0.0,0.71,1.2,0.0,0.0,13.839999999999996,0.0787463292749833,7,4,5,3,5,4.8,1.32664991614216
AllOrNothingAM,all_49_185177_69.jpg,A,9,0.88,0.0,0.3,1.43,1.49,2.22,0.0,1.06,0.14,0.0,1.63,1.12,1.91,0.06,0.12,0.0,1.55,13.91,0.0711029135638577,1,3,2,1,1,1.6,0.8
AllOrNothingAM,all_68_186625_55.jpg,A,5,0.52,1.12,0.64,0.0,0.0,0.75,0.37,0.95,0.11,1.4,1.06,0.33,1.04,0.83,1.37,2.71,0.92,14.120000000000005,0.0714025362189108,3,2,2,5,2,2.8,1.16619037896906
AllOrNothingAM,all_54_102313_105.jpg,A,3,2.89,0.37,1.22,0.27,0.0,0.36,0.0,1.59,0.0,0.59,1.03,1.74,0.41,0.25,0.95,1.92,0.7,14.29,0.0706097702365538,2,2,2,6,7,3.8,2.227105745132009
AllOrNothingAM,all_79_163793_104.jpg,A,7,2.82,1.38,2.31,0.0,1.89,0.26,0.0,1.79,0.65,0.05,0.0,0.2,0.26,0.0,1.39,1.48,0.29,14.77,0.0739720374005094,6,6,6,7,7,6.4,0.4898979485566356
AllOrNothingAM,all_80_85811_237.jpg,A,4,3.64,1.94,2.91,1.42,0.0,0.0,0.0,0.0,0.0,0.43,1.08,0.0,0.0,0.0,1.8,0.76,0.92,14.9,0.0892728068744013,6,5,5,6,5,5.4,0.4898979485566356
AllOrNothingAM,all_74_161809_129.jpg,A,6,3.27,1.33,1.61,0.0,0.75,0.38,0.0,1.4,0.13,0.0,0.67,0.12,0.52,0.0,2.08,1.48,1.7,15.44,0.0804274260503892,6,7,6,3,6,5.6,1.3564659966250536
AllOrNothingAM,all_71_66769_62.jpg,A,1,2.03,0.95,0.0,1.69,1.13,0.74,0.41,2.25,1.25,1.97,0.23,1.85,0.67,0.0,0.38,0.0,0.0,15.55,0.0728323053641912,4,3,5,2,5,3.8,1.16619037896906
AllOrNothingAM,all_75_107745_93.jpg,A,2,2.86,0.03,1.81,1.69,0.0,0.47,0.3,0.93,0.0,1.75,1.27,0.0,0.0,0.19,1.37,2.33,0.68,15.679999999999998,0.0842039042159749,3,3,4,1,3,2.8,0.9797958971132712
AllOrNothingAM,all_81_147605_31.jpg,A,2,1.52,0.01,0.59,2.12,2.18,3.01,0.0,0.41,0.0,0.0,3.49,0.0,0.46,0.0,2.82,0.0,0.0,16.61,0.0999384498522601,6,6,7,3,5,5.4,1.3564659966250536
AllOrNothingAM,all_70_64675_60.jpg,A,8,3.15,3.84,0.62,4.12,0.0,0.0,0.0,0.0,0.95,1.06,0.0,0.42,0.0,0.0,1.18,1.5,0.0,16.84,0.1081069837509989,7,6,7,7,6,6.6,0.4898979485566356
AllOrNothingAM,all_80_119905_4.jpg,A,4,2.24,1.19,3.07,0.0,1.04,0.79,0.87,0.84,1.08,1.8,0.0,0.42,0.45,0.0,1.25,1.21,2.15,18.4,0.0994397098267382,5,4,7,6,3,5.0,1.4142135623730951
AllOrNothingAM,all_72_126650_29.jpg,A,5,2.31,1.23,0.52,0.46,2.03,1.7,1.23,1.3,0.69,0.0,1.01,0.07,2.3,0.0,0.0,2.07,1.89,18.81,0.098816850687104,2,2,4,5,7,4.0,1.8973665961010275
BrightStarAM,brightstar_33_3009_3.jpg,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0050660136923836,2,1,2,2,4,2.2,0.9797958971132712
BrightStarAM,brightstar_18_119601_207.jpg,A,3,0.0,0.0,0.17,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.59,0.51,0.65,2.48,0.0122860513659263,2,3,3,2,4,2.8,0.7483314773547882
BrightStarAM,brightstar_4_90961_25.jpg,A,4,0.0,0.07,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.47,0.94,0.07,2.9599999999999995,0.0152767066608281,2,3,3,5,2,3.0,1.095445115010332
BrightStarAM,brightstar_5_47170_209.jpg,A,8,1.05,0.07,0.11,0.16,0.0,0.0,0.0,0.75,0.0,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.44,3.09,0.0118067598007414,4,3,1,3,4,3.0,1.095445115010332
BrightStarAM,brightstar_9_144201_36.jpg,A,8,0.0,0.0,0.0,0.8,0.74,0.27,1.06,0.87,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0149844891396795,5,5,5,4,2,4.2,1.16619037896906
BrightStarAM,brightstar_16_37460_103.jpg,A,8,0.92,0.0,0.24,1.83,0.0,0.0,0.3,0.0,0.0,0.0,0.08,0.21,0.0,0.72,0.0,0.0,0.0,4.3,0.0228013256284824,2,2,3,1,2,2.0,0.6324555320336759
BrightStarAM,brightstar_2_8018_80.jpg,A,3,1.17,1.06,0.0,0.85,0.0,0.0,0.0,0.07,0.01,0.0,0.39,0.0,0.0,0.04,0.0,0.85,0.0,4.44,0.0226289019473337,1,2,6,4,2,3.0,1.7888543819998317
BrightStarAM,brightstar_10_16657_42.jpg,A,2,0.0,0.0,0.01,1.73,0.0,0.0,0.0,1.41,0.0,0.6,0.0,0.13,0.0,0.0,0.0,0.59,0.0,4.47,0.0163437401260196,1,2,1,2,1,1.4,0.4898979485566356
BrightStarAM,brightstar_1_16801_43.jpg,A,10,0.0,0.0,0.29,1.57,0.0,0.0,0.0,1.45,0.0,0.3,0.11,0.52,0.0,0.0,0.14,0.23,0.0,4.61,0.0164206733326684,3,4,4,1,1,2.6,1.3564659966250536
BrightStarAM,brightstar_11_16481_53.jpg,A,1,0.0,0.0,0.0,2.15,0.0,0.0,0.0,1.54,0.23,1.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.0,0.0193817028928403,3,1,3,2,3,2.4,0.8
BrightStarAM,brightstar_17_12165_34.jpg,A,7,0.0,0.36,0.4,0.24,0.0,0.0,0.49,0.28,0.55,0.0,0.39,0.19,0.14,0.0,0.63,0.31,1.27,5.25,0.0249931066555197,2,6,3,2,2,3.0,1.5491933384829668
BrightStarAM,brightstar_30_15217_94.jpg,A,5,1.54,1.82,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0294294570673031,2,5,3,4,5,3.8,1.16619037896906
BrightStarAM,brightstar_19_98273_275.jpg,A,3,1.73,0.55,0.54,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.39,1.08,0.0,0.0,0.0,0.0,5.41,0.0286064201504881,2,1,3,2,2,2.0,0.6324555320336759
BrightStarAM,brightstar_13_52108_3.jpg,A,9,0.0,0.0,0.58,1.46,0.0,0.0,0.6,1.7,0.0,0.0,0.72,0.0,0.0,0.0,0.42,0.0,0.0,5.48,0.0195824807305537,2,3,4,3,2,2.8,0.7483314773547882
BrightStarAM,brightstar_33_97873_126.jpg,A,6,1.89,0.73,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.28,0.07,0.0,0.0,0.0,5.500000000000001,0.0293623171992225,3,1,4,3,1,2.4,1.2000000000000002
BrightStarAM,brightstar_21_36961_17.jpg,A,5,1.26,0.44,0.32,0.35,0.0,0.95,0.0,0.22,0.0,0.0,0.67,0.02,0.31,0.0,0.53,0.0,0.45,5.5200000000000005,0.0269175365797892,1,3,2,4,4,2.8,1.16619037896906
BrightStarAM,brightstar_36_153281_5.jpg,A,4,0.3,0.0,0.2,0.0,0.0,0.0,0.32,0.04,0.0,1.03,1.11,1.72,0.0,0.15,0.0,1.21,0.0,6.08,0.0320266251036955,1,2,3,4,2,2.4,1.019803902718557
BrightStarAM,brightstar_31_162494_249.jpg,A,7,0.61,0.06,2.05,0.49,0.0,0.0,0.31,0.0,0.37,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.76,6.1,0.0322907122557588,2,5,4,6,4,4.2,1.32664991614216
BrightStarAM,brightstar_8_32097_47.jpg,A,2,0.81,0.01,0.22,0.63,0.63,1.48,0.0,1.15,0.59,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,6.19,0.025993193654823,2,1,2,2,3,2.0,0.6324555320336759
