annotator_id,prolific_user,movie,image,movie_type,annot_group,annotator_gender,annotator_origin,movies_recognition,actors_recognition,intensity,sum,exp_sum,quartile
R_2ogPvYjzUNUQCQX,0,CertifiedCopyAM,copie_17_41122_41.jpg,A,1,Female,Western (European),A few,A few,4,5.0,0.0261617853788908,q2
R_4DuqaECJ2rvPprf,0,BrightStarAM,brightstar_63_15313_84.jpg,A,1,Female,Western (European),Many,Many,4,13.82,0.0617605991113209,q4
R_6yjcLBoK1hK18k5,1,BrightStarAM,brightstar_63_15313_84.jpg,A,1,Female,Latin American,Several,A few,5,13.82,0.0617605991113209,q4
R_5f3VSlWSpPr6Zrf,1,BrightStarAM,brightstar_63_15313_84.jpg,A,1,Male,Western (European),Several,Several,5,13.82,0.0617605991113209,q4
R_8mKqDOTAyv0fHBP,0,BrightStarAM,brightstar_63_15313_84.jpg,A,1,Male,Western (European),A few,A few,3,13.82,0.0617605991113209,q4
R_2ogPvYjzUNUQCQX,0,BrightStarAM,brightstar_63_15313_84.jpg,A,1,Female,Western (European),A few,A few,5,13.82,0.0617605991113209,q4
R_4DuqaECJ2rvPprf,0,CertifiedCopyAM,copie_12_112779_77.jpg,A,1,Female,Western (European),Many,Many,3,5.379999999999999,0.0259222571543029,q2
R_6yjcLBoK1hK18k5,1,CertifiedCopyAM,copie_12_112779_77.jpg,A,1,Female,Latin American,Several,A few,3,5.379999999999999,0.0259222571543029,q2
R_5f3VSlWSpPr6Zrf,1,CertifiedCopyAM,copie_12_112779_77.jpg,A,1,Male,Western (European),Several,Several,4,5.379999999999999,0.0259222571543029,q2
R_8mKqDOTAyv0fHBP,0,CertifiedCopyAM,copie_12_112779_77.jpg,A,1,Male,Western (European),A few,A few,2,5.379999999999999,0.0259222571543029,q2
R_2ogPvYjzUNUQCQX,0,CertifiedCopyAM,copie_12_112779_77.jpg,A,1,Female,Western (European),A few,A few,3,5.379999999999999,0.0259222571543029,q2
R_4DuqaECJ2rvPprf,0,SpiderAM,spider_21_50097_6.jpg,A,1,Female,Western (European),Many,Many,4,5.83,0.0277827455508682,q2
R_6yjcLBoK1hK18k5,1,SpiderAM,spider_21_50097_6.jpg,A,1,Female,Latin American,Several,A few,2,5.83,0.0277827455508682,q2
R_5f3VSlWSpPr6Zrf,1,SpiderAM,spider_21_50097_6.jpg,A,1,Male,Western (European),Several,Several,4,5.83,0.0277827455508682,q2
R_8mKqDOTAyv0fHBP,0,SpiderAM,spider_21_50097_6.jpg,A,1,Male,Western (European),A few,A few,1,5.83,0.0277827455508682,q2
R_2ogPvYjzUNUQCQX,0,SpiderAM,spider_21_50097_6.jpg,A,1,Female,Western (European),A few,A few,6,5.83,0.0277827455508682,q2
R_4DuqaECJ2rvPprf,0,SynecdocheAM,newyork_54_134641_55.jpg,A,1,Female,Western (European),Many,Many,1,8.18,0.0422447202002845,q2
R_6yjcLBoK1hK18k5,1,SynecdocheAM,newyork_54_134641_55.jpg,A,1,Female,Latin American,Several,A few,3,8.18,0.0422447202002845,q2
R_5f3VSlWSpPr6Zrf,1,SynecdocheAM,newyork_54_134641_55.jpg,A,1,Male,Western (European),Several,Several,4,8.18,0.0422447202002845,q2
R_8mKqDOTAyv0fHBP,0,SynecdocheAM,newyork_54_134641_55.jpg,A,1,Male,Western (European),A few,A few,2,8.18,0.0422447202002845,q2
R_2ogPvYjzUNUQCQX,0,SynecdocheAM,newyork_54_134641_55.jpg,A,1,Female,Western (European),A few,A few,3,8.18,0.0422447202002845,q2
R_4DuqaECJ2rvPprf,0,FastAndFuriousHM,fandf_26_27913_15.jpg,H,1,Female,Western (European),Many,Many,1,9.02,0.048235441791772,q3
R_6yjcLBoK1hK18k5,1,FastAndFuriousHM,fandf_26_27913_15.jpg,H,1,Female,Latin American,Several,A few,2,9.02,0.048235441791772,q3
R_5f3VSlWSpPr6Zrf,1,FastAndFuriousHM,fandf_26_27913_15.jpg,H,1,Male,Western (European),Several,Several,3,9.02,0.048235441791772,q3
R_8mKqDOTAyv0fHBP,0,FastAndFuriousHM,fandf_26_27913_15.jpg,H,1,Male,Western (European),A few,A few,1,9.02,0.048235441791772,q3
R_2ogPvYjzUNUQCQX,0,FastAndFuriousHM,fandf_26_27913_15.jpg,H,1,Female,Western (European),A few,A few,3,9.02,0.048235441791772,q3
R_4DuqaECJ2rvPprf,0,BrightStarAM,brightstar_54_51897_14.jpg,A,1,Female,Western (European),Many,Many,1,10.88,0.0511098112340778,q4
R_6yjcLBoK1hK18k5,1,BrightStarAM,brightstar_54_51897_14.jpg,A,1,Female,Latin American,Several,A few,2,10.88,0.0511098112340778,q4
R_5f3VSlWSpPr6Zrf,1,BrightStarAM,brightstar_54_51897_14.jpg,A,1,Male,Western (European),Several,Several,3,10.88,0.0511098112340778,q4
R_8mKqDOTAyv0fHBP,0,BrightStarAM,brightstar_54_51897_14.jpg,A,1,Male,Western (European),A few,A few,2,10.88,0.0511098112340778,q4
R_2ogPvYjzUNUQCQX,0,BrightStarAM,brightstar_54_51897_14.jpg,A,1,Female,Western (European),A few,A few,2,10.88,0.0511098112340778,q4
R_4DuqaECJ2rvPprf,0,AllOrNothingAM,all_7_102785_0.jpg,A,1,Female,Western (European),Many,Many,4,6.35,0.0280054667906908,q1
R_6yjcLBoK1hK18k5,1,AllOrNothingAM,all_7_102785_0.jpg,A,1,Female,Latin American,Several,A few,3,6.35,0.0280054667906908,q1
R_5f3VSlWSpPr6Zrf,1,AllOrNothingAM,all_7_102785_0.jpg,A,1,Male,Western (European),Several,Several,3,6.35,0.0280054667906908,q1
R_8mKqDOTAyv0fHBP,0,AllOrNothingAM,all_7_102785_0.jpg,A,1,Male,Western (European),A few,A few,2,6.35,0.0280054667906908,q1
R_2ogPvYjzUNUQCQX,0,AllOrNothingAM,all_7_102785_0.jpg,A,1,Female,Western (European),A few,A few,3,6.35,0.0280054667906908,q1
R_4DuqaECJ2rvPprf,0,TheDarkKnightHM,darkknightbatman_49_56817_47.jpg,H,1,Female,Western (European),Many,Many,3,5.77,0.0328613642648115,q1
R_6yjcLBoK1hK18k5,1,TheDarkKnightHM,darkknightbatman_49_56817_47.jpg,H,1,Female,Latin American,Several,A few,3,5.77,0.0328613642648115,q1
R_5f3VSlWSpPr6Zrf,1,TheDarkKnightHM,darkknightbatman_49_56817_47.jpg,H,1,Male,Western (European),Several,Several,3,5.77,0.0328613642648115,q1
R_8mKqDOTAyv0fHBP,0,TheDarkKnightHM,darkknightbatman_49_56817_47.jpg,H,1,Male,Western (European),A few,A few,2,5.77,0.0328613642648115,q1
R_2ogPvYjzUNUQCQX,0,TheDarkKnightHM,darkknightbatman_49_56817_47.jpg,H,1,Female,Western (European),A few,A few,4,5.77,0.0328613642648115,q1
R_4DuqaECJ2rvPprf,0,SpiderAM,spider_27_131585_79.jpg,A,1,Female,Western (European),Many,Many,4,6.5600000000000005,0.0368041577513628,q2
R_6yjcLBoK1hK18k5,1,SpiderAM,spider_27_131585_79.jpg,A,1,Female,Latin American,Several,A few,3,6.5600000000000005,0.0368041577513628,q2
R_5f3VSlWSpPr6Zrf,1,SpiderAM,spider_27_131585_79.jpg,A,1,Male,Western (European),Several,Several,2,6.5600000000000005,0.0368041577513628,q2
R_8mKqDOTAyv0fHBP,0,SpiderAM,spider_27_131585_79.jpg,A,1,Male,Western (European),A few,A few,2,6.5600000000000005,0.0368041577513628,q2
R_2ogPvYjzUNUQCQX,0,SpiderAM,spider_27_131585_79.jpg,A,1,Female,Western (European),A few,A few,3,6.5600000000000005,0.0368041577513628,q2
R_4DuqaECJ2rvPprf,0,SynecdocheAM,newyork_44_8649_23.jpg,A,1,Female,Western (European),Many,Many,1,13.74,0.062955637541246,q4
R_6yjcLBoK1hK18k5,1,SynecdocheAM,newyork_44_8649_23.jpg,A,1,Female,Latin American,Several,A few,3,13.74,0.062955637541246,q4
R_5f3VSlWSpPr6Zrf,1,SynecdocheAM,newyork_44_8649_23.jpg,A,1,Male,Western (European),Several,Several,2,13.74,0.062955637541246,q4
R_8mKqDOTAyv0fHBP,0,SynecdocheAM,newyork_44_8649_23.jpg,A,1,Male,Western (European),A few,A few,2,13.74,0.062955637541246,q4
R_2ogPvYjzUNUQCQX,0,SynecdocheAM,newyork_44_8649_23.jpg,A,1,Female,Western (European),A few,A few,3,13.74,0.062955637541246,q4
R_4DuqaECJ2rvPprf,0,SpiderAM,spider_22_41177_82.jpg,A,1,Female,Western (European),Many,Many,4,9.6,0.039002138043391,q3
R_6yjcLBoK1hK18k5,1,SpiderAM,spider_22_41177_82.jpg,A,1,Female,Latin American,Several,A few,2,9.6,0.039002138043391,q3
R_5f3VSlWSpPr6Zrf,1,SpiderAM,spider_22_41177_82.jpg,A,1,Male,Western (European),Several,Several,2,9.6,0.039002138043391,q3
R_8mKqDOTAyv0fHBP,0,SpiderAM,spider_22_41177_82.jpg,A,1,Male,Western (European),A few,A few,1,9.6,0.039002138043391,q3
R_2ogPvYjzUNUQCQX,0,SpiderAM,spider_22_41177_82.jpg,A,1,Female,Western (European),A few,A few,5,9.6,0.039002138043391,q3
R_4DuqaECJ2rvPprf,0,AllOrNothingAM,all_69_164137_15.jpg,A,1,Female,Western (European),Many,Many,3,12.2,0.0661912656477741,q4
R_6yjcLBoK1hK18k5,1,AllOrNothingAM,all_69_164137_15.jpg,A,1,Female,Latin American,Several,A few,4,12.2,0.0661912656477741,q4
R_5f3VSlWSpPr6Zrf,1,AllOrNothingAM,all_69_164137_15.jpg,A,1,Male,Western (European),Several,Several,4,12.2,0.0661912656477741,q4
R_8mKqDOTAyv0fHBP,0,AllOrNothingAM,all_69_164137_15.jpg,A,1,Male,Western (European),A few,A few,2,12.2,0.0661912656477741,q4
R_2ogPvYjzUNUQCQX,0,AllOrNothingAM,all_69_164137_15.jpg,A,1,Female,Western (European),A few,A few,3,12.2,0.0661912656477741,q4
R_4DuqaECJ2rvPprf,0,MonsterInLawHM,monster_20_50081_93.jpg,H,1,Female,Western (European),Many,Many,2,3.02,0.0095463861990661,q1
R_6yjcLBoK1hK18k5,1,MonsterInLawHM,monster_20_50081_93.jpg,H,1,Female,Latin American,Several,A few,2,3.02,0.0095463861990661,q1
R_5f3VSlWSpPr6Zrf,1,MonsterInLawHM,monster_20_50081_93.jpg,H,1,Male,Western (European),Several,Several,3,3.02,0.0095463861990661,q1
R_8mKqDOTAyv0fHBP,0,MonsterInLawHM,monster_20_50081_93.jpg,H,1,Male,Western (European),A few,A few,1,3.02,0.0095463861990661,q1
R_2ogPvYjzUNUQCQX,0,MonsterInLawHM,monster_20_50081_93.jpg,H,1,Female,Western (European),A few,A few,3,3.02,0.0095463861990661,q1
R_4DuqaECJ2rvPprf,0,FastAndFuriousHM,fandf_39_125177_103.jpg,H,1,Female,Western (European),Many,Many,5,10.23,0.0475569200253701,q3
R_6yjcLBoK1hK18k5,1,FastAndFuriousHM,fandf_39_125177_103.jpg,H,1,Female,Latin American,Several,A few,4,10.23,0.0475569200253701,q3
R_5f3VSlWSpPr6Zrf,1,FastAndFuriousHM,fandf_39_125177_103.jpg,H,1,Male,Western (European),Several,Several,5,10.23,0.0475569200253701,q3
R_8mKqDOTAyv0fHBP,0,FastAndFuriousHM,fandf_39_125177_103.jpg,H,1,Male,Western (European),A few,A few,2,10.23,0.0475569200253701,q3
R_2ogPvYjzUNUQCQX,0,FastAndFuriousHM,fandf_39_125177_103.jpg,H,1,Female,Western (European),A few,A few,3,10.23,0.0475569200253701,q3
R_4DuqaECJ2rvPprf,0,CleanAM,clean_20_49281_39_SUB.jpg,A,1,Female,Western (European),Many,Many,1,3.49,0.0155652907625751,q1
R_6yjcLBoK1hK18k5,1,CleanAM,clean_20_49281_39_SUB.jpg,A,1,Female,Latin American,Several,A few,2,3.49,0.0155652907625751,q1
R_5f3VSlWSpPr6Zrf,1,CleanAM,clean_20_49281_39_SUB.jpg,A,1,Male,Western (European),Several,Several,2,3.49,0.0155652907625751,q1
R_8mKqDOTAyv0fHBP,0,CleanAM,clean_20_49281_39_SUB.jpg,A,1,Male,Western (European),A few,A few,2,3.49,0.0155652907625751,q1
R_2ogPvYjzUNUQCQX,0,CleanAM,clean_20_49281_39_SUB.jpg,A,1,Female,Western (European),A few,A few,3,3.49,0.0155652907625751,q1
R_4DuqaECJ2rvPprf,0,PiratesOfCaribbeanHM,pirates_32_80697_60.jpg,H,1,Female,Western (European),Many,Many,2,9.91,0.0438185308308307,q3
R_6yjcLBoK1hK18k5,1,PiratesOfCaribbeanHM,pirates_32_80697_60.jpg,H,1,Female,Latin American,Several,A few,2,9.91,0.0438185308308307,q3
R_5f3VSlWSpPr6Zrf,1,PiratesOfCaribbeanHM,pirates_32_80697_60.jpg,H,1,Male,Western (European),Several,Several,3,9.91,0.0438185308308307,q3
R_8mKqDOTAyv0fHBP,0,PiratesOfCaribbeanHM,pirates_32_80697_60.jpg,H,1,Male,Western (European),A few,A few,2,9.91,0.0438185308308307,q3
R_2ogPvYjzUNUQCQX,0,PiratesOfCaribbeanHM,pirates_32_80697_60.jpg,H,1,Female,Western (European),A few,A few,3,9.91,0.0438185308308307,q3
R_4DuqaECJ2rvPprf,0,AllOrNothingAM,all_61_66649_77.jpg,A,1,Female,Western (European),Many,Many,7,11.48,0.0521026072034363,q3
R_6yjcLBoK1hK18k5,1,AllOrNothingAM,all_61_66649_77.jpg,A,1,Female,Latin American,Several,A few,5,11.48,0.0521026072034363,q3
R_5f3VSlWSpPr6Zrf,1,AllOrNothingAM,all_61_66649_77.jpg,A,1,Male,Western (European),Several,Several,6,11.48,0.0521026072034363,q3
R_8mKqDOTAyv0fHBP,0,AllOrNothingAM,all_61_66649_77.jpg,A,1,Male,Western (European),A few,A few,3,11.48,0.0521026072034363,q3
R_2ogPvYjzUNUQCQX,0,AllOrNothingAM,all_61_66649_77.jpg,A,1,Female,Western (European),A few,A few,6,11.48,0.0521026072034363,q3
R_4DuqaECJ2rvPprf,0,SpiderAM,spider_13_69753_88.jpg,A,1,Female,Western (European),Many,Many,4,5.579999999999999,0.0225207857796242,q2
R_6yjcLBoK1hK18k5,1,SpiderAM,spider_13_69753_88.jpg,A,1,Female,Latin American,Several,A few,3,5.579999999999999,0.0225207857796242,q2
R_5f3VSlWSpPr6Zrf,1,SpiderAM,spider_13_69753_88.jpg,A,1,Male,Western (European),Several,Several,3,5.579999999999999,0.0225207857796242,q2
R_8mKqDOTAyv0fHBP,0,SpiderAM,spider_13_69753_88.jpg,A,1,Male,Western (European),A few,A few,2,5.579999999999999,0.0225207857796242,q2
R_2ogPvYjzUNUQCQX,0,SpiderAM,spider_13_69753_88.jpg,A,1,Female,Western (European),A few,A few,2,5.579999999999999,0.0225207857796242,q2
R_4DuqaECJ2rvPprf,0,TheDarkKnightHM,darkknightbatman_55_137007_77.jpg,H,1,Female,Western (European),Many,Many,6,12.76,0.059465380053574,q4
R_6yjcLBoK1hK18k5,1,TheDarkKnightHM,darkknightbatman_55_137007_77.jpg,H,1,Female,Latin American,Several,A few,4,12.76,0.059465380053574,q4
R_5f3VSlWSpPr6Zrf,1,TheDarkKnightHM,darkknightbatman_55_137007_77.jpg,H,1,Male,Western (European),Several,Several,5,12.76,0.059465380053574,q4
R_8mKqDOTAyv0fHBP,0,TheDarkKnightHM,darkknightbatman_55_137007_77.jpg,H,1,Male,Western (European),A few,A few,2,12.76,0.059465380053574,q4
R_2ogPvYjzUNUQCQX,0,TheDarkKnightHM,darkknightbatman_55_137007_77.jpg,H,1,Female,Western (European),A few,A few,4,12.76,0.059465380053574,q4
R_4DuqaECJ2rvPprf,0,BrightStarAM,brightstar_70_54801_51.jpg,A,1,Female,Western (European),Many,Many,3,15.330000000000002,0.0840823300904191,q4
R_6yjcLBoK1hK18k5,1,BrightStarAM,brightstar_70_54801_51.jpg,A,1,Female,Latin American,Several,A few,1,15.330000000000002,0.0840823300904191,q4
R_5f3VSlWSpPr6Zrf,1,BrightStarAM,brightstar_70_54801_51.jpg,A,1,Male,Western (European),Several,Several,2,15.330000000000002,0.0840823300904191,q4
R_8mKqDOTAyv0fHBP,0,BrightStarAM,brightstar_70_54801_51.jpg,A,1,Male,Western (European),A few,A few,1,15.330000000000002,0.0840823300904191,q4
R_2ogPvYjzUNUQCQX,0,BrightStarAM,brightstar_70_54801_51.jpg,A,1,Female,Western (European),A few,A few,2,15.330000000000002,0.0840823300904191,q4
R_4DuqaECJ2rvPprf,0,ClickHM,click_68_112305_89.jpg,H,1,Female,Western (European),Many,Many,2,13.11,0.0596854995553323,q4
R_6yjcLBoK1hK18k5,1,ClickHM,click_68_112305_89.jpg,H,1,Female,Latin American,Several,A few,2,13.11,0.0596854995553323,q4
R_5f3VSlWSpPr6Zrf,1,ClickHM,click_68_112305_89.jpg,H,1,Male,Western (European),Several,Several,2,13.11,0.0596854995553323,q4
R_8mKqDOTAyv0fHBP,0,ClickHM,click_68_112305_89.jpg,H,1,Male,Western (European),A few,A few,2,13.11,0.0596854995553323,q4
R_2ogPvYjzUNUQCQX,0,ClickHM,click_68_112305_89.jpg,H,1,Female,Western (European),A few,A few,2,13.11,0.0596854995553323,q4
R_4DuqaECJ2rvPprf,0,ClickHM,click_39_106881_68.jpg,H,1,Female,Western (European),Many,Many,2,5.929999999999999,0.0280895710543057,q2
R_6yjcLBoK1hK18k5,1,ClickHM,click_39_106881_68.jpg,H,1,Female,Latin American,Several,A few,3,5.929999999999999,0.0280895710543057,q2
R_5f3VSlWSpPr6Zrf,1,ClickHM,click_39_106881_68.jpg,H,1,Male,Western (European),Several,Several,2,5.929999999999999,0.0280895710543057,q2
R_8mKqDOTAyv0fHBP,0,ClickHM,click_39_106881_68.jpg,H,1,Male,Western (European),A few,A few,2,5.929999999999999,0.0280895710543057,q2
R_2ogPvYjzUNUQCQX,0,ClickHM,click_39_106881_68.jpg,H,1,Female,Western (European),A few,A few,3,5.929999999999999,0.0280895710543057,q2
R_4DuqaECJ2rvPprf,0,QuantumOfSolaceHM,quantum_36_103209_68.jpg,H,1,Female,Western (European),Many,Many,7,9.260000000000002,0.0480606061365496,q3
R_6yjcLBoK1hK18k5,1,QuantumOfSolaceHM,quantum_36_103209_68.jpg,H,1,Female,Latin American,Several,A few,5,9.260000000000002,0.0480606061365496,q3
R_5f3VSlWSpPr6Zrf,1,QuantumOfSolaceHM,quantum_36_103209_68.jpg,H,1,Male,Western (European),Several,Several,4,9.260000000000002,0.0480606061365496,q3
R_8mKqDOTAyv0fHBP,0,QuantumOfSolaceHM,quantum_36_103209_68.jpg,H,1,Male,Western (European),A few,A few,2,9.260000000000002,0.0480606061365496,q3
R_2ogPvYjzUNUQCQX,0,QuantumOfSolaceHM,quantum_36_103209_68.jpg,H,1,Female,Western (European),A few,A few,6,9.260000000000002,0.0480606061365496,q3
R_4DuqaECJ2rvPprf,0,CertifiedCopyAM,copie_48_122750_396.jpg,A,1,Female,Western (European),Many,Many,6,10.03,0.0564828236267427,q3
R_6yjcLBoK1hK18k5,1,CertifiedCopyAM,copie_48_122750_396.jpg,A,1,Female,Latin American,Several,A few,4,10.03,0.0564828236267427,q3
R_5f3VSlWSpPr6Zrf,1,CertifiedCopyAM,copie_48_122750_396.jpg,A,1,Male,Western (European),Several,Several,2,10.03,0.0564828236267427,q3
R_8mKqDOTAyv0fHBP,0,CertifiedCopyAM,copie_48_122750_396.jpg,A,1,Male,Western (European),A few,A few,2,10.03,0.0564828236267427,q3
R_2ogPvYjzUNUQCQX,0,CertifiedCopyAM,copie_48_122750_396.jpg,A,1,Female,Western (European),A few,A few,6,10.03,0.0564828236267427,q3
R_4DuqaECJ2rvPprf,0,TheDarkKnightHM,darkknightbatman_31_127499_167.jpg,H,1,Female,Western (European),Many,Many,1,10.220000000000002,0.0501671290633174,q3
R_6yjcLBoK1hK18k5,1,TheDarkKnightHM,darkknightbatman_31_127499_167.jpg,H,1,Female,Latin American,Several,A few,4,10.220000000000002,0.0501671290633174,q3
R_5f3VSlWSpPr6Zrf,1,TheDarkKnightHM,darkknightbatman_31_127499_167.jpg,H,1,Male,Western (European),Several,Several,4,10.220000000000002,0.0501671290633174,q3
R_8mKqDOTAyv0fHBP,0,TheDarkKnightHM,darkknightbatman_31_127499_167.jpg,H,1,Male,Western (European),A few,A few,2,10.220000000000002,0.0501671290633174,q3
R_2ogPvYjzUNUQCQX,0,TheDarkKnightHM,darkknightbatman_31_127499_167.jpg,H,1,Female,Western (European),A few,A few,4,10.220000000000002,0.0501671290633174,q3
R_4DuqaECJ2rvPprf,0,CleanAM,clean_36_113537_30.jpg,A,1,Female,Western (European),Many,Many,1,9.64,0.0450699378301854,q3
R_6yjcLBoK1hK18k5,1,CleanAM,clean_36_113537_30.jpg,A,1,Female,Latin American,Several,A few,3,9.64,0.0450699378301854,q3
R_5f3VSlWSpPr6Zrf,1,CleanAM,clean_36_113537_30.jpg,A,1,Male,Western (European),Several,Several,3,9.64,0.0450699378301854,q3
R_8mKqDOTAyv0fHBP,0,CleanAM,clean_36_113537_30.jpg,A,1,Male,Western (European),A few,A few,2,9.64,0.0450699378301854,q3
R_2ogPvYjzUNUQCQX,0,CleanAM,clean_36_113537_30.jpg,A,1,Female,Western (European),A few,A few,4,9.64,0.0450699378301854,q3
R_4DuqaECJ2rvPprf,0,PiratesOfCaribbeanHM,pirates_52_31084_4.jpg,H,1,Female,Western (European),Many,Many,1,8.0,0.0415316550136701,q2
R_6yjcLBoK1hK18k5,1,PiratesOfCaribbeanHM,pirates_52_31084_4.jpg,H,1,Female,Latin American,Several,A few,4,8.0,0.0415316550136701,q2
R_5f3VSlWSpPr6Zrf,1,PiratesOfCaribbeanHM,pirates_52_31084_4.jpg,H,1,Male,Western (European),Several,Several,4,8.0,0.0415316550136701,q2
R_8mKqDOTAyv0fHBP,0,PiratesOfCaribbeanHM,pirates_52_31084_4.jpg,H,1,Male,Western (European),A few,A few,1,8.0,0.0415316550136701,q2
R_2ogPvYjzUNUQCQX,0,PiratesOfCaribbeanHM,pirates_52_31084_4.jpg,H,1,Female,Western (European),A few,A few,3,8.0,0.0415316550136701,q2
R_4DuqaECJ2rvPprf,0,SpiderAM,spider_67_45057_35.jpg,A,1,Female,Western (European),Many,Many,2,14.260000000000002,0.0725310529573209,q4
R_6yjcLBoK1hK18k5,1,SpiderAM,spider_67_45057_35.jpg,A,1,Female,Latin American,Several,A few,1,14.260000000000002,0.0725310529573209,q4
R_5f3VSlWSpPr6Zrf,1,SpiderAM,spider_67_45057_35.jpg,A,1,Male,Western (European),Several,Several,2,14.260000000000002,0.0725310529573209,q4
R_8mKqDOTAyv0fHBP,0,SpiderAM,spider_67_45057_35.jpg,A,1,Male,Western (European),A few,A few,2,14.260000000000002,0.0725310529573209,q4
